Campaign,Ad Group,Keyword,Criterion Type,Final URL,Path 1,Path 2,Sitelink text,Sitelink Final URL,Sitelink Description 1,Sitelink Description 2,Callout text,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
1. Local Core (Rhythmic),1.1. Near Me & Bay Area,rhythmic gymnastics near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Local Core (Rhythmic),1.1. Near Me & Bay Area,rhythmic gymnastics near me,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Local Core (Rhythmic),1.1. Near Me & Bay Area,rhythmic gymnastics classes near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Local Core (Rhythmic),1.1. Near Me & Bay Area,rhythmic gymnastics bay area,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Local Core (Rhythmic),1.1. Near Me & Bay Area,rhythmic gymnastics bay area,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Local Core (Rhythmic),1.2. Redwood City,rhythmic gymnastics redwood city,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Local Core (Rhythmic),1.2. Redwood City,rhythmic gymnastics redwood city,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Local Core (Rhythmic),1.2. Redwood City,rhythmic gymnastics classes redwood city,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Local Core (Rhythmic),1.3. Geo Targets (Tier 1),rhythmic gymnastics san mateo,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Local Core (Rhythmic),1.3. Geo Targets (Tier 1),rhythmic gymnastics palo alto,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Local Core (Rhythmic),1.3. Geo Targets (Tier 1),rhythmic gymnastics belmont,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Local Core (Rhythmic),1.3. Geo Targets (Tier 1),rhythmic gymnastics menlo park,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Local Core (Rhythmic),1.3. Geo Targets (Tier 1),rhythmic gymnastics san carlos,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Local Core (Rhythmic),1.3. Geo Targets (Tier 1),rhythmic gymnastics mountain view,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Kids & Beginners (General),2.1. Beginner Rhythmic,beginner rhythmic gymnastics,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Kids & Beginners (General),2.1. Beginner Rhythmic,beginner rhythmic gymnastics,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Kids & Beginners (General),2.1. Beginner Rhythmic,rhythmic gymnastics for kids,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Kids & Beginners (General),2.1. Beginner Rhythmic,rhythmic gymnastics for 4 year olds,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Kids & Beginners (General),2.2. Kids Gym (Broad),gymnastics classes for kids,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Kids & Beginners (General),2.2. Kids Gym (Broad),gymnastics for kids near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Kids & Beginners (General),2.2. Kids Gym (Broad),kids gymnastics redwood city,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,
