Keyword	Search Volume	Current Position	Target Position	Est. Monthly Clicks Growth
rhythmic gymnastics near me	480	2	1	60
rhythmic gymnastics leotards	320	14	5–8	18
rhythmic gymnastics classes bay area	260	8	2–3	28
gymnastics classes for kids redwood city	210	4	1	30
rhythmic gymnastics equipment	210	18	8–10	8
kids gymnastics classes redwood city	180	3	1	25
rhythmic gymnastics redwood city	170	2	1	35
beginner rhythmic gymnastics classes	150	9	3–5	15
rhythmic gymnastics santa clara	140	New	1	25
girls gymnastics classes redwood city	140	3	1	22
rhythmic gymnastics palo alto	110	5	1–2	22
toddler gymnastics redwood city	110	5	1	20
rhythmic gymnastics camp bay area	110	6	2–3	16
gymnastics summer camp redwood city	90	4	1	20
rhythmic gymnastics san mateo	90	6	1–3	15
rhythmic gymnastics training bay area	90	7	2–3	12
after school gymnastics redwood city	90	4	1	15
best gymnastics club redwood city	80	3	1	14
rhythmic gymnastics private lessons	80	8	3–5	9
rhythmic gymnastics sunnyvale	70	New	1–3	12
rhythmic gymnastics team redwood city	70	3	1	12
rhythmic gymnastics mountain view	60	New	2–4	8
rhythmic gymnastics cupertino	50	New	2–4	7
Total	3360			448
